ID,NICKNAME
0,Zo
1,Drew
2,Mase
3,Dice
4,Hammer
5,Sabas
6,The General
7,Billy O
8,Bones
9,Big Country
10,Flyin' Bryon
11,Los
12,Mully
13,Oak
14,Chief
15,The Rifleman
16,C-Webb
17,Spoon
18,Big Nasty
19,Flash
20,D-Square
21,Thunder Dan
22,Mighty Mouse
23,Dee-lightful
24,DC
25,Heavy D
26,3-D
27,Mt. Mutombo
28,Skeeter/Hawk
29,EJ
30,Easy/Big E
31,Socks
32,Pike
33,The Mayor
34,Big Dog
35,Hawk
36,J.R.
37,Monster Mash
38,Hollywood
39,The Wild Thing
40,Stack
41,Junk Yard Dog
42,JJ
43,Hot Rod
44,The Kid
45,K.G.
46,Devo
47,Fonz
48,Grandmama
49,Spree
50,Lo
51,Sweet Lou
52,Mo
53,Nick The Quick
54,The Big O
55,O.T.
56,Never Nervous
57,Sheed
58,T-Rex
59,Dunkin' Dutchman
60,Pac Man
61,Big Smooth
62,The Reignman
63,Plastic Man
64,Tee Bee
65,T
66,Dog
67,Googs
68,T-Mass
69,A-Train
70,Ukraine Train
71,Ice
72,The Wizard
73,Yogi
74,Tim Bug
75,J-Kidd
76,Hammer/Rock
77,Kandi Man
78,Harp
79,The Truth
80,J-Dub
81,Tractor
82,Mike D
83,Kiwi
84,The Cat
85,Mad Max
86,The Factor
87,Mr. Clutch
88,Mickey
89,Woody
90,Ghitza
91,Big O
92,Luke
93,Hondo
94,Clyde
95,The Pearl
96,Tiny
97,Stock
98,The Admiral
99,Zeke
100,Human Highlight Film
101,Air
102,The Threat
103,Wally World
104,Alaskan Assassin
105,Hardwood Houdini
106,The Horse
107,The Bird
108,L'il Abner
109,The Big Dipper
110,Bells
111,Pistol
112,Kangaroo Kid
113,Iceman
114,Sir Charles
115,The Dream
116,Shaq
117,The Mailman
118,Pip
119,Killer Miller
120,The Goods
121,O.P.
122,Franchise
123,Skip To My Lou
124,E-mail
125,DJ
126,The Helicopter
127,The Chef
128,E-Rob
129,The Animal
130,Big Ben
131,John Shaft
132,Legs
133,White Worm
134,K-Mart
135,Stro
136,D-Miles
137,Mo-Pete
138,Motown
139,Q
140,Zeek
141,Sepp/Spider
142,Big Jack
143,Noise
144,Bubba
145,Goldie
146,Super Fly
147,The Rocket
148,Big Jake
149,Mad Dog
150,J-Rich
151,Zelly
152,The Jet
153,Renchi
154,Manu
155,Junior
156,Vinsanity
157,The Answer
158,Reef
159,T-Mac
160,TD
161,KG
162,The Glove
163,Z
164,The Beast
165,Starbury
166,The Matrix
167,Croatian Sensation
168,Ack-Ack
169,Satch
170,Jungle Jim
171,Dogpatch
172,Happy
173,Pinball
174,J.D.
175,Downtown
176,J.J.
177,Dr. J
178,Boston Strangler
179,The Twirl
180,D.J.
181,Big Game James
182,Rambo
183,B.T. Express
184,Microwave
185,Lambs
186,Clyde The Glide
187,Super Mario
188,Wild Thing
189,The Worm
190,Spider
191,Nacho
192,Rip
193,Zaza
194,JD
195,Peja
196,AK-47
197,B-Diddy
198,King James
199,Jet
200,Melo
201,D-Mase
202,RJ
203,STAT
204,Flip
205,Ray Ray
206,CB4
207,Red Rocket
208,Birdman
209,T-Hud
210,Z-Bo
211,Memo
9500,ATM
9501,Big Freeze
9502,Big Time
9503,Blink
9504,Buckets
9505,Chainz
9506,Chill
9507,Dead Eye
9508,Dimes
9509,Freak
9510,Handles
9511,Ice
9512,Lightning
9513,Mad Skillz
9514,Shorty
9515,Showstopper
9516,Smoove
9517,The Game
9518,The Hurt
9519,X-Factor
212,Placeholder
213,The Boston Strangler
214,Round Mound Of Rebound
215,The Squid
216,Greves
217,T.C.
218,El Sid
219,Big Daddy
220,Gentle Ben
221,Larry Legend
222,Fast Eddie
223,The Human Highlight Film
224,Stinger
225,The Big Dog
226,Dr. Dunkenstein
227,The Whooper
228,Tank
229,Mooney
230,Boo
231,Mr. Bill
232,Silk
233,Ro
234,Chocolate Thunder
235,G-Man
236,Sugar Ray
237,Horse
238,The Blade
239,Mr. Everything
240,Tinkerbell
241,The A-Train
242,Double A
243,Greyhound
244,The Enforcer
245,Brick
246,Clyde the Glide
247,Mr. Mean
248,The Molester
249,C.J.
250,Mr. Moves
